UID          PID    PPID  C STIME TTY          TIME CMD
root          52       2  0 15:38 ?        00:00:00 [idle_inject/6]
root          53       2  0 15:38 ?        00:00:00 [migration/6]
root          54       2  0 15:38 ?        00:00:00 [ksoftirqd/6]
root          56       2  0 15:38 ?        00:00:00 [kworker/6:0H-events_highpri]
root          57       2  0 15:38 ?        00:00:00 [cpuhp/7]
root          58       2  0 15:38 ?        00:00:00 [idle_inject/7]
root          59       2  0 15:38 ?        00:00:00 [migration/7]
root          60       2  0 15:38 ?        00:00:04 [ksoftirqd/7]
root          62       2  0 15:38 ?        00:00:00 [kworker/7:0H-events_highpri]
root          63       2  0 15:38 ?        00:00:00 [cpuhp/8]
root          64       2  0 15:38 ?        00:00:00 [idle_inject/8]
root          65       2  0 15:38 ?        00:00:00 [migration/8]
root          66       2  0 15:38 ?        00:00:00 [ksoftirqd/8]
root          68       2  0 15:38 ?        00:00:00 [kworker/8:0H-events_highpri]
root          69       2  0 15:38 ?        00:00:00 [cpuhp/9]
root          70       2  0 15:38 ?        00:00:00 [idle_inject/9]
root          71       2  0 15:38 ?        00:00:00 [migration/9]
root          72       2  0 15:38 ?        00:00:00 [ksoftirqd/9]
root          74       2  0 15:38 ?        00:00:00 [kworker/9:0H-events_highpri]
root          75       2  0 15:38 ?        00:00:00 [cpuhp/10]
root          76       2  0 15:38 ?        00:00:00 [idle_inject/10]
root          77       2  0 15:38 ?        00:00:00 [migration/10]
root          78       2  0 15:38 ?        00:00:00 [ksoftirqd/10]
root          80       2  0 15:38 ?        00:00:00 [kworker/10:0H-events_highpri]
root          81       2  0 15:38 ?        00:00:00 [cpuhp/11]
root          82       2  0 15:38 ?        00:00:00 [idle_inject/11]
root          83       2  0 15:38 ?        00:00:00 [migration/11]
root          84       2  0 15:38 ?        00:00:00 [ksoftirqd/11]
root          86       2  0 15:38 ?        00:00:00 [kworker/11:0H-events_highpri]
root          87       2  0 15:38 ?        00:00:00 [kdevtmpfs]
root          88       2  0 15:38 ?        00:00:00 [kworker/R-inet_frag_wq]
root          89       2  0 15:38 ?        00:00:00 [rcu_tasks_kthread]
root          90       2  0 15:38 ?        00:00:00 [rcu_tasks_rude_kthread]
root          91       2  0 15:38 ?        00:00:00 [rcu_tasks_trace_kthread]
root          92       2  0 15:38 ?        00:00:00 [kauditd]
root          93       2  0 15:38 ?        00:00:00 [khungtaskd]
root          94       2  0 15:38 ?        00:00:00 [oom_reaper]
root          97       2  0 15:38 ?        00:00:00 [kworker/R-writeback]
root          98       2  0 15:38 ?        00:00:00 [kcompactd0]
root          99       2  0 15:38 ?        00:00:00 [ksmd]
root         100       2  0 15:38 ?        00:00:00 [khugepaged]
root         101       2  0 15:38 ?        00:00:00 [kworker/R-kblockd]
root         102       2  0 15:38 ?        00:00:00 [kworker/R-blkcg_punt_bio]
root         103       2  0 15:38 ?        00:00:00 [kworker/R-kintegrityd]
root         104       2  0 15:38 ?        00:00:00 [irq/9-acpi]
root         107       2  0 15:38 ?        00:00:00 [kworker/R-tpm_dev_wq]
root         108       2  0 15:38 ?        00:00:00 [kworker/R-ata_sff]
root         109       2  0 15:38 ?        00:00:00 [kworker/R-md]
root         110       2  0 15:38 ?        00:00:00 [kworker/R-md_bitmap]
root         111       2  0 15:38 ?        00:00:00 [kworker/R-edac-poller]
root         112       2  0 15:38 ?        00:00:00 [kworker/R-devfreq_wq]
root         113       2  0 15:38 ?        00:00:00 [watchdogd]
root         114       2  0 15:38 ?        00:00:00 [kworker/R-quota_events_unbound]
root         115       2  0 15:38 ?        00:00:00 [kworker/0:1H-kblockd]
root         117       2  0 15:38 ?        00:00:00 [kswapd0]
root         118       2  0 15:38 ?        00:00:00 [ecryptfs-kthread]
root         120       2  0 15:38 ?        00:00:00 [kworker/R-kthrotld]
root         121       2  0 15:38 ?        00:00:00 [kworker/R-acpi_thermal_pm]
root         122       2  0 15:38 ?        00:00:00 [hwrng]
root         125       2  0 15:38 ?        00:00:00 [kworker/R-mld]
root         126       2  0 15:38 ?        00:00:00 [kworker/R-ipv6_addrconf]
root         127       2  0 15:38 ?        00:00:00 [kworker/R-kstrp]
root         147       2  0 15:38 ?        00:00:00 [kworker/R-charger_manager]
root         171       2  0 15:38 ?        00:00:00 [kworker/3:1H-kblockd]
root         175       2  0 15:38 ?        00:00:00 [kworker/2:1H-i915_cleanup]
root         191       2  0 15:38 ?        00:00:00 [kworker/4:1H-i915_cleanup]
root         192       2  0 15:38 ?        00:00:00 [kworker/1:1H-i915_cleanup]
root         212       2  0 15:38 ?        00:00:00 [kworker/11:1H-i915_cleanup]
root         213       2  0 15:38 ?        00:00:00 [kworker/8:1H-i915_cleanup]
root         214       2  0 15:38 ?        00:00:00 [kworker/10:1H-i915_cleanup]
root         215       2  0 15:38 ?        00:00:00 [kworker/7:1H-i915_cleanup]
root         216       2  0 15:38 ?        00:00:00 [kworker/6:1H-i915_cleanup]
root         222       2  0 15:38 ?        00:00:00 [kworker/5:1H-kblockd]
root         223       2  0 15:38 ?        00:00:00 [kworker/9:1H-kblockd]
root         268       2  0 15:38 ?        00:00:00 [scsi_eh_0]
root         269       2  0 15:38 ?        00:00:00 [kworker/R-scsi_tmf_0]
root         272       2  0 15:38 ?        00:00:00 [irq/83-ELAN0001:00]
root         274       2  0 15:38 ?        00:00:00 [kworker/R-nvme-wq]
root         275       2  0 15:38 ?        00:00:00 [kworker/R-nvme-reset-wq]
root         276       2  0 15:38 ?        00:00:00 [kworker/R-nvme-delete-wq]
root         277       2  0 15:38 ?        00:00:00 [kworker/R-nvme-auth-wq]
root         317       2  0 15:39 ?        00:00:00 [jbd2/nvme0n1p2-8]
root         318       2  0 15:39 ?        00:00:00 [kworker/R-ext4-rsv-conversion]
root         368       1  0 15:39 ?        00:00:00 /usr/lib/systemd/systemd-journald
root         439       1  0 15:39 ?        00:00:00 /usr/lib/systemd/systemd-udevd
root         498       2  0 15:39 ?        00:00:00 [psimon]
root         663       2  0 15:39 ?        00:00:00 [kworker/R-cfg80211]
root         669       2  0 15:39 ?        00:00:00 [irq/142-mei_me]
root         707       2  0 15:39 ?        00:00:02 [irq/143-iwlwifi:default_queue]
root         708       2  0 15:39 ?        00:00:00 [irq/144-iwlwifi:queue_1]
root         709       2  0 15:39 ?        00:00:00 [irq/145-iwlwifi:queue_2]
root         710       2  0 15:39 ?        00:00:00 [irq/146-iwlwifi:queue_3]
root         711       2  0 15:39 ?        00:00:00 [irq/147-iwlwifi:queue_4]
root         712       2  0 15:39 ?        00:00:00 [irq/148-iwlwifi:queue_5]
root         713       2  0 15:39 ?        00:00:00 [irq/149-iwlwifi:queue_6]
root         714       2  0 15:39 ?        00:00:00 [irq/150-iwlwifi:queue_7]
root         715       2  0 15:39 ?        00:00:01 [irq/151-iwlwifi:queue_8]
root         716       2  0 15:39 ?        00:00:00 [irq/152-iwlwifi:queue_9]
root         717       2  0 15:39 ?        00:00:00 [irq/153-iwlwifi:queue_10]
root         718       2  0 15:39 ?        00:00:00 [irq/154-iwlwifi:queue_11]
root         719       2  0 15:39 ?        00:00:00 [irq/155-iwlwifi:queue_12]
root         720       2  0 15:39 ?        00:00:00 [irq/156-iwlwifi:exception]
root         738       2  0 15:39 ?        00:00:00 [nv_queue]
root         739       2  0 15:39 ?        00:00:00 [nv_queue]
root         740       2  0 15:39 ?        00:00:00 [nv_open_q]
root         747       2  0 15:39 ?        00:00:00 [kworker/R-ttm]
root         763       2  0 15:39 ?        00:00:00 [nvidia-modeset/kthread_q]
root         764       2  0 15:39 ?        00:00:00 [nvidia-modeset/deferred_close_kthread_q]
root         770       2  0 15:39 ?        00:00:00 [card1-crtc0]
root         771       2  0 15:39 ?        00:00:00 [card1-crtc1]
root         772       2  0 15:39 ?        00:00:00 [card1-crtc2]
root         777       2  0 15:39 ?        00:00:00 [irq/158-nvidia]
root         778       2  0 15:39 ?        00:00:00 [nvidia]
root         779       2  0 15:39 ?        00:00:00 [nv_queue]
systemd+    1022       1  0 15:39 ?        00:00:03 /usr/lib/systemd/systemd-oomd
systemd+    1063       1  0 15:39 ?        00:00:00 /usr/lib/systemd/systemd-resolved
systemd+    1064       1  0 15:39 ?        00:00:00 /usr/lib/systemd/systemd-timesyncd
avahi       1141       1  0 15:39 ?        00:00:00 avahi-daemon: running [karim-Lenovo-Legion-5-15IMH05H.local]
root        1142       1  0 15:39 ?        00:00:00 /usr/libexec/bluetooth/bluetoothd
message+    1143       1  0 15:39 ?        00:00:02 @dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
gnome-r+    1147       1  0 15:39 ?        00:00:00 /usr/libexec/gnome-remote-desktop-daemon --system
polkitd     1152       1  0 15:39 ?        00:00:00 /usr/lib/polkit-1/polkitd --no-debug
root        1154       1  0 15:39 ?        00:00:00 /usr/libexec/power-profiles-daemon
root        1162       1  0 15:39 ?        00:00:03 /snap/snapd/current/usr/lib/snapd/snapd
root        1168       1  0 15:39 ?        00:00:00 /usr/libexec/accounts-daemon
root        1172       1  0 15:39 ?        00:00:00 /usr/sbin/cron -f -P
root        1176       1  0 15:39 ?        00:00:00 /usr/libexec/switcheroo-control
root        1178       1  0 15:39 ?        00:00:00 /usr/lib/systemd/systemd-logind
root        1179       1  0 15:39 ?        00:00:03 /usr/sbin/thermald --systemd --dbus-enable --adaptive
root        1180       1  0 15:39 ?        00:00:01 /usr/libexec/udisks2/udisksd
avahi       1197    1141  0 15:39 ?        00:00:00 avahi-daemon: chroot helper
root        1211       1  0 15:39 ?        00:00:02 /usr/sbin/NetworkManager --no-daemon
root        1213       1  0 15:39 ?        00:00:00 /usr/sbin/wpa_supplicant -u -s -O DIR=/run/wpa_supplicant GROUP=netdev
syslog      1235       1  0 15:39 ?        00:00:00 /usr/sbin/rsyslogd -n -iNONE
root        1308       1  0 15:39 ?        00:00:00 /usr/sbin/ModemManager
root        1419       1  0 15:39 ?        00:00:00 /usr/libexec/upowerd
root        1531       1  0 15:39 ?        00:00:00 /usr/sbin/cupsd -l
root        1540       1  0 15:39 ?        00:00:00 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
root        1634       2  0 15:39 ?        00:00:00 [UVM global queue]
root        1637       2  0 15:39 ?        00:00:00 [UVM deferred release queue]
root        1638       2  0 15:39 ?        00:00:00 [UVM Tools Event Queue]
root        1647       1  0 15:39 ?        00:00:07 /usr/bin/containerd
root        1654       1  0 15:39 ?        00:00:00 /usr/sbin/gdm3
nvidia-+    1665       1  0 15:39 ?        00:00:00 /usr/bin/nvidia-persistenced --user nvidia-persistenced --no-persistence-mode --verbose
rtkit       1794       1  0 15:39 ?        00:00:00 /usr/libexec/rtkit-daemon
root        1878       2  0 15:39 ?        00:00:00 [krfcommd]
colord      2038       1  0 15:39 ?        00:00:00 /usr/libexec/colord
cups-br+    2373       1  0 15:39 ?        00:00:00 /usr/sbin/cups-browsed
root        2374       1  0 15:39 ?        00:00:01 /usr/bin/dockerd -H fd:// --containerd=/run/containerd/containerd.sock
kernoops    2376       1  0 15:39 ?        00:00:00 /usr/sbin/kerneloops --test
kernoops    2379       1  0 15:39 ?        00:00:00 /usr/sbin/kerneloops
root        2646    1654  0 15:39 ?        00:00:00 gdm-session-worker [pam/gdm-password]
karim       2699       1  0 15:39 ?        00:00:01 /usr/lib/systemd/systemd --user
karim       2705    2699  0 15:39 ?        00:00:00 (sd-pam)
karim       2719    2699  0 15:39 ?        00:00:02 /usr/bin/pipewire
karim       2720    2699  0 15:39 ?        00:00:00 /usr/bin/pipewire -c filter-chain.conf
karim       2723    2699  0 15:39 ?        00:00:00 /usr/bin/wireplumber
karim       2725    2699  0 15:39 ?        00:00:01 /usr/bin/pipewire-pulse
karim       2727    2699  0 15:39 ?        00:00:00 /usr/bin/gnome-keyring-daemon --foreground --components=pkcs11,secrets --control-directory=/run/user/1000/keyring
karim       2740    2699  0 15:39 ?        00:00:00 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
karim       2795    2699  0 15:39 ?        00:00:00 /usr/libexec/xdg-document-portal
karim       2799    2699  0 15:39 ?        00:00:00 /usr/libexec/xdg-permission-store
root        2806    2795  0 15:39 ?        00:00:00 fusermount3 -o rw,nosuid,nodev,fsname=portal,auto_unmount,subtype=portal -- /run/user/1000/doc
karim       2831    2646  0 15:39 tty2     00:00:00 /usr/libexec/gdm-x-session --run-script env GNOME_SHELL_SESSION_MODE=ubuntu /usr/bin/gnome-session --session=ubuntu
karim       2842    2831  2 15:39 tty2     00:03:00 /usr/lib/xorg/Xorg vt2 -displayfd 3 -auth /run/user/1000/gdm/Xauthority -nolisten tcp -background none -noreset -keeptty -novtswitch -verbose 3
root        2874       2  0 15:39 ?        00:00:00 [nvidia-drm/timeline-1d]
karim       2927    2831  0 15:39 tty2     00:00:00 /usr/libexec/gnome-session-binary --session=ubuntu
karim       2950    2699  0 15:39 ?        00:00:00 /snap/snapd-desktop-integration/343/usr/bin/snapd-desktop-integration
karim       3066    2699  0 15:39 ?        00:00:00 /usr/libexec/at-spi-bus-launcher
karim       3078    3066  0 15:39 ?        00:00:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 11 --address=unix:path=/run/user/1000/at-spi/bus_1
karim       3084    2950  0 15:39 ?        00:00:01 /snap/snapd-desktop-integration/343/usr/bin/snapd-desktop-integration
karim       3093    2699  0 15:39 ?        00:00:00 /usr/libexec/gcr-ssh-agent --base-dir /run/user/1000/gcr
karim       3094    2699  0 15:39 ?        00:00:00 /usr/libexec/gnome-session-ctl --monitor
karim       3108    2699  0 15:39 ?        00:00:00 /usr/libexec/gvfsd
karim       3116    2699  0 15:39 ?        00:00:00 /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f
karim       3119    2699  0 15:39 ?        00:00:00 /usr/libexec/gnome-session-binary --systemd-service --session=ubuntu
karim       3170    2699  2 15:39 ?        00:03:27 /usr/bin/gnome-shell
karim       3203    3170  0 15:39 ?        00:00:04 /usr/libexec/mutter-x11-frames
karim       3206    2699  0 15:39 ?        00:00:01 /usr/libexec/at-spi2-registryd --use-gnome-session
karim       3235    2699  0 15:39 ?        00:00:00 /usr/libexec/gnome-shell-calendar-server
karim       3242    2699  0 15:39 ?        00:00:00 /usr/libexec/evolution-source-registry
karim       3255    2699  0 15:39 ?        00:00:00 /usr/bin/gjs -m /usr/share/gnome-shell/org.gnome.Shell.Notifications
karim       3278    2699  0 15:39 ?        00:00:09 /usr/bin/ibus-daemon --panel disable --xim
karim       3279    2699  0 15:39 ?        00:00:00 /usr/libexec/gsd-a11y-settings
karim       3280    2699  0 15:39 ?        00:00:00 /usr/libexec/gsd-color
karim       3282    2699  0 15:39 ?        00:00:00 /usr/libexec/gsd-datetime
karim       3285    2699  0 15:39 ?        00:00:00 /usr/libexec/gsd-housekeeping
karim       3287    2699  0 15:39 ?        00:00:00 /usr/libexec/gsd-keyboard
karim       3288    2699  0 15:39 ?        00:00:00 /usr/libexec/gsd-media-keys
karim       3290    2699  0 15:39 ?        00:00:00 /usr/libexec/gsd-power
karim       3293    2699  0 15:39 ?        00:00:00 /usr/libexec/gsd-print-notifications
karim       3299    2699  0 15:39 ?        00:00:00 /usr/libexec/gsd-rfkill
karim       3305    2699  0 15:39 ?        00:00:00 /usr/libexec/gsd-screensaver-proxy
karim       3306    2699  0 15:39 ?        00:00:00 /usr/libexec/goa-daemon
karim       3309    2699  0 15:39 ?        00:00:00 /usr/libexec/gsd-sharing
karim       3311    2699  0 15:39 ?        00:00:00 /usr/libexec/gsd-smartcard
karim       3312    2699  0 15:39 ?        00:00:00 /usr/libexec/gsd-sound
karim       3313    2699  0 15:39 ?        00:00:00 /usr/libexec/gsd-wacom
karim       3317    2699  0 15:39 ?        00:00:00 /usr/libexec/gsd-xsettings
karim       3335    2699  0 15:39 ?        00:00:01 /usr/libexec/gvfs-udisks2-volume-monitor
karim       3348    3119  0 15:39 ?        00:00:00 /usr/libexec/gsd-disk-utility-notify
karim       3376    3119  0 15:39 ?        00:00:00 /usr/libexec/evolution-data-server/evolution-alarm-notify
karim       3423    2699  0 15:39 ?        00:00:00 /usr/libexec/gsd-printer
karim       3437    2699  0 15:39 ?        00:00:00 /usr/libexec/goa-identity-service
karim       3441    3278  0 15:39 ?        00:00:00 /usr/libexec/ibus-dconf
karim       3443    3278  0 15:39 ?        00:00:04 /usr/libexec/ibus-extension-gtk3
karim       3451    2699  0 15:39 ?        00:00:00 /usr/libexec/ibus-x11 --kill-daemon
karim       3463    2699  0 15:39 ?        00:00:00 /usr/libexec/ibus-portal
karim       3480    2699  0 15:39 ?        00:00:00 /usr/libexec/evolution-calendar-factory
karim       3508    2699  0 15:39 ?        00:00:00 /usr/libexec/gvfs-afc-volume-monitor
karim       3521    2699  0 15:39 ?        00:00:00 /usr/libexec/gvfs-goa-volume-monitor
karim       3533    2699  0 15:39 ?        00:00:00 /usr/libexec/gvfs-mtp-volume-monitor
karim       3540    2699  0 15:39 ?        00:00:00 /usr/libexec/gvfs-gphoto2-volume-monitor
karim       3550    2699  0 15:39 ?        00:00:00 /usr/libexec/evolution-addressbook-factory
karim       3569    2699  0 15:39 ?        00:00:00 /usr/bin/gjs -m /usr/share/gnome-shell/org.gnome.ScreenSaver
karim       3590    2699  0 15:39 ?        00:00:01 /usr/libexec/tracker-miner-fs-3
karim       3600    3278  0 15:39 ?        00:00:02 /usr/libexec/ibus-engine-simple
karim       3639    2699  0 15:39 ?        00:00:00 /usr/libexec/dconf-service
karim       3653    3108  0 15:39 ?        00:00:00 /usr/libexec/gvfsd-trash --spawner :1.25 /org/gtk/gvfs/exec_spaw/0
karim       3675    2699  0 15:39 ?        00:00:00 /usr/libexec/xdg-desktop-portal
karim       3681    2699  0 15:39 ?        00:00:01 /usr/libexec/xdg-desktop-portal-gnome
karim       3698    2699  0 15:39 ?        00:00:00 /usr/libexec/xdg-desktop-portal-gtk
karim       3778    2699  0 15:39 ?        00:00:00 /usr/libexec/gvfsd-metadata
karim       4641    3119  0 15:40 ?        00:00:00 /usr/bin/update-notifier
karim       4871    2699  0 15:41 ?        00:00:05 /usr/bin/nautilus --gapplication-service
karim       4899    3108  0 15:41 ?        00:00:00 /usr/libexec/gvfsd-recent --spawner :1.25 /org/gtk/gvfs/exec_spaw/1
karim       4911    2699  0 15:41 ?        00:00:06 /usr/bin/eog /home/karim/Pictures/Screenshots/Screenshot from 2026-04-17 15-39-55.png
karim       5002    3170  0 15:41 ?        00:01:01 /snap/whatsapp-desktop-linux/1/whatsapp-desktop-linux --no-sandbox
karim       5067    5002  0 15:41 ?        00:00:00 /snap/whatsapp-desktop-linux/1/whatsapp-desktop-linux --type=zygote --no-zygote-sandbox --no-sandbox
karim       5068    5002  0 15:41 ?        00:00:00 /snap/whatsapp-desktop-linux/1/whatsapp-desktop-linux --type=zygote --no-sandbox
karim       5102    5067  0 15:41 ?        00:00:14 /snap/whatsapp-desktop-linux/1/whatsapp-desktop-linux --type=gpu-process --no-sandbox --enable-crash-reporter=e7070036-f155-4b2d-ad00-c34486c8cff3,no_channel --user-data-dir=/home/karim/snap/whatsapp-desktop-linux/1/.config/whatsapp-desktop-linux --gpu-preferences=UAAAAAAAAAAgAAAEAAAAAAAAAAAAAAAAAABgAAEAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAQAAABAAAAAAAAAAEAAAAAAAAAAIAAAAAAAAAAgAAAAAAAAA --shared-files --field-trial-handle=3,i,1408727800664161643,2259652106471468949,262144 --disable-features=SpareRendererForSitePerProcess --variations-seed-version
karim       5117    5002  0 15:41 ?        00:00:02 /snap/whatsapp-desktop-linux/1/whatsapp-desktop-linux --type=utility --utility-sub-type=network.mojom.NetworkService --lang=en-US --service-sandbox-type=none --no-sandbox --enable-crash-reporter=e7070036-f155-4b2d-ad00-c34486c8cff3,no_channel --user-data-dir=/home/karim/snap/whatsapp-desktop-linux/1/.config/whatsapp-desktop-linux --shared-files=v8_context_snapshot_data:100 --field-trial-handle=3,i,1408727800664161643,2259652106471468949,262144 --disable-features=SpareRendererForSitePerProcess --variations-seed-version
karim       5198    5068  2 15:41 ?        00:02:40 /snap/whatsapp-desktop-linux/1/whatsapp-desktop-linux --type=renderer --enable-crash-reporter=e7070036-f155-4b2d-ad00-c34486c8cff3,no_channel --user-data-dir=/home/karim/snap/whatsapp-desktop-linux/1/.config/whatsapp-desktop-linux --app-path=/snap/whatsapp-desktop-linux/1/resources/app.asar --enable-sandbox --no-sandbox --lang=en-US --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=6 --time-ticks-at-unix-epoch=-1776433135952850 --launch-time-ticks=159305389 --shared-files=v8_context_snapshot_data:100 --field-trial-handle=3,i,1408727800664161643,2259652106471468949,262144 --disable-features=SpareRendererForSitePerProcess --variations-seed-version
karim       5224    3108  0 15:41 ?        00:00:00 /usr/libexec/gvfsd-network --spawner :1.25 /org/gtk/gvfs/exec_spaw/2
karim       5232    3108  0 15:41 ?        00:00:00 /usr/libexec/gvfsd-dnssd --spawner :1.25 /org/gtk/gvfs/exec_spaw/3
karim       5276    2699  0 15:41 ?        00:00:27 /usr/libexec/gnome-terminal-server
karim       5287    5276  0 15:41 pts/0    00:00:00 zsh
karim       5431    2699  0 15:42 ?        00:00:30 /snap/code/234/usr/share/code/code --no-sandbox . --ozone-platform=x11
karim       5438    5431  0 15:42 ?        00:00:00 /snap/code/234/usr/share/code/code --type=zygote --no-zygote-sandbox --no-sandbox
karim       5439    5431  0 15:42 ?        00:00:00 /snap/code/234/usr/share/code/code --type=zygote --no-sandbox
karim       5453    2699  0 15:42 ?        00:00:00 /snap/code/234/usr/share/code/chrome_crashpad_handler --monitor-self-annotation=ptype=crashpad-handler --no-rate-limit --database=/home/karim/.config/Code/Crashpad --url=appcenter://code?aid=fba07a4d-84bd-4fc8-a125-9640fc8ce171&uid=9cf0a79e-259b-470b-9ace-e4e13ea1de60&iid=9cf0a79e-259b-470b-9ace-e4e13ea1de60&sid=9cf0a79e-259b-470b-9ace-e4e13ea1de60 --annotation=_companyName=Microsoft --annotation=_productName=VSCode --annotation=_version=1.116.0 --annotation=lsb-release=Ubuntu 24.04.4 LTS --annotation=plat=Linux --annotation=prod=Electron --annotation=ver=39.8.7 --initial-client-fd=48 --shared-client-connection
karim       5490    5431  0 15:42 ?        00:00:06 /proc/self/exe --type=utility --utility-sub-type=network.mojom.NetworkService --lang=en-US --service-sandbox-type=none --no-sandbox --crashpad-handler-pid=5453 --enable-crash-reporter=077f1e75-f72f-4f37-9979-8737a2266397,no_channel --user-data-dir=/home/karim/.config/Code --standard-schemes=vscode-webview,vscode-file --secure-schemes=vscode-webview,vscode-file --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --shared-files=v8_context_snapshot_data:100 --field-trial-handle=3,i,3811836436271889863,3134600982729652729,262144 --enable-features=DocumentPolicyIncludeJSCallStacksInCrashReports,EarlyEstablishGpuChannel,EstablishGpuChannelAsync --disable-features=CalculateNativeWinOcclusion,LocalNetworkAccessChecks,ScreenAIOCREnabled,SpareRendererForSitePerProcess,TraceSiteInstanceGetProcessCreation --variations-seed-version --trace-process-track-uuid=3190708989122997041
karim       5551    5439  1 15:42 ?        00:02:07 /snap/code/234/usr/share/code/code --type=zygote --no-sandbox
karim       5568    5431  0 15:42 ?        00:00:28 /proc/self/exe --type=gpu-process --disable-gpu-sandbox --no-sandbox --ozone-platform=x11 --crashpad-handler-pid=5453 --enable-crash-reporter=077f1e75-f72f-4f37-9979-8737a2266397,no_channel --user-data-dir=/home/karim/.config/Code --gpu-preferences=UAAAAAAAAAAgAAAEAAAAAAAAAAAAAGAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAYAAAAAAAAABgAAAAAAAAAAQAAAAAAAAAIAAAAAAAAAAgAAAAAAAAA --use-gl=angle --use-angle=swiftshader-webgl --shared-files --field-trial-handle=3,i,3811836436271889863,3134600982729652729,262144 --enable-features=DocumentPolicyIncludeJSCallStacksInCrashReports,EarlyEstablishGpuChannel,EstablishGpuChannelAsync --disable-features=CalculateNativeWinOcclusion,LocalNetworkAccessChecks,ScreenAIOCREnabled,SpareRendererForSitePerProcess,TraceSiteInstanceGetProcessCreation --variations-seed-version --trace-process-track-uuid=3190708992871164437
